Product Name,Description,Image link,Price,Rating,Merchant

HP NOKIA 105 JADUL DUAL SIM NEW,Detail produk dari NOKIA 105 DUAL SIM (TA-1174)Nokia 105 Dual SIM 2017 Handphone [Garansi Resmi] merupakan handphone Nokia yang didesain klasik dan ergonomis. Waktu bicara hingga 15 jam dan dan satu bulan dalam kondisi siaga. Ukuran layar QVGA 1.8 Inch untuk tampilan yang lebih baik. Island keymat untuk pengiriman teks dan panggilan yang lebih mudah. Dengan bodi melengkung- ergonomis dan tata letak island key untuk panggilan cepat dan SMS- Nokia 105 memberi Anda nuansa ponsel berkualitas tinggi dan kokoh yang ada di telapak tangan Anda. Nokia 105 disiapkan untuk menghadapi cuaca apa pun yang ada pada hari ini- dengan selubung polikarbonat yang membuat warnanya tetap menyala. Di tambah lagi- dilengkapi dengan senter bawaan dan permainan yang sudah diisikan di antaranya Snake Xenzia yang klasik.,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/9/27/7857e6af-3400-4766-aba8-e803269e3e47.png?ect=4g,Rp122.000,5,Jvi shop
nokia 105 new 2019 garansi resmi - BIRU TAM,"update 9 juni 2020100% baru100% garansi resmi#####REKOMENDASI Sekilo ISI 5 ya kak.  Bs 6u tp otimatis jd tipis bublevarian TAM garansi tam.wraping polos ya kk sekarang tp ada segelNETWORK	Technology	GSMSIM	Dual SIM (Mini-SIM, dual stand-by)Size	1.77 inches, 9.7 cm2 (~16.6% screen-to-body ratio)MEMORY	Card slot	NoInternal	4MB 4MB RAMCAMERA	 	NoBATTERY	 	Removable Li-Ion 800 mAh battery",https://images.tokopedia.net/img/cache/500-square/product-1/2019/12/19/2375085/2375085_79aa3a81-9152-4416-b48d-8c27d2c33153_959_959.jpg?ect=4g,Rp225.000,5,hapehapeku21
Handphone HP Samsung Flip Lipat Caramel GT-E1272,"HP Samsung Lipat Caramel E1272 Dual Sim gsm Bahasa Indonesia1 x HP Baru1 x Quality battery ori 99%1 x New charger1 x Box-dusTIDAK ADA bawaan Handsfree !bisa bahasa indonesia,stock readysuper copy 99 kualitas terbaikGARANSI SETELAH BARANG DI TERIMA 1 MINGGU. SEBELUM PENGIRIMAN HP SUDAH KITA CEK KEMUNGKINAN RETUR SANGAT MINIM KAMI SELALU MENJAGA KUALITAS PRODUK KAMI. untuk spek dan support app cek di google atau situs spesifikasi terlengkap#samsung #samsunge1272#HP #JADUL #CLASSIC #HANDPHONE #MURAH #HPMURAH #HPSAMSUNG #SAMSUNG1272 #SAMSUNGLIPAD #samsungcaramel #SamsungCaramelGT-E1272 #samsungmurah #samsungjadul #samsungclassic #samsungbestseller #murahmeria",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/9/4/3ddd49b0-ae17-49d7-be22-e2375ae803a2.png?ect=4g,Rp149.000,5,Jvi shop
Oppo F1s 4/32gb GOLD garansi 1 tahun distributor,"Oppo F1s 4/32Gb Garansi BergaransiREFURBISH KUALITAS GREAT A+Bisa Bahasa Indonesia & PlaystoreSIMCARD ALL OPERATOR INDONESIAJaringan 4GGaransi 1 TahunNetwork 	Technology 	GSM / HSPA / LTELaunch 	Announced 	2016, August 03. Released 2016, AugustStatus 	DiscontinuedBody 	Dimensions 	154.5 x 76 x 7.4 mm (6.08 x 2.99 x 0.29 in)Weight 	160 g (5.64 oz)Build 	Glass front (Gorilla Glass 4), aluminum back, aluminum frameSIM 	Dual SIM (Nano-SIM, dual stand-by)Display 	Type 	IPS LCDSize 	5.5 inches, 83.4 cm2 (~71.0% screen-to-body ratio)Resolution 	720 x 1280 pixels, 16:9 ratio (~267 ppi density)Protection 	Corning Gorilla Glass 4Platform 	OS 	Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow), ColorOS 3Chipset 	Mediatek MT6755 (28 nm) or MTK7650 (28 nm)CPU 	Octa-core 1.5 GHz Cortex-A53GPU 	Mali-T860MP2Memory 	Card slot 	microSDXC (dedicated slot)Internal 	 32GB 4GB RAM 	eMMC 5.1Main Camera 	Single 	13 MP, f/2.2, 1/3"", PDAFFeatures 	LED flash, panorama, HDRVideo 	1080p@30fpsSelfie camera 	Single 	16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µmVideo 	1080p@30fpsSound 	Loudspeaker 	Yes3.5mm jack 	YesComms 	WLAN 	Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspotBluetooth 	4.0, A2DPGPS 	Yes, with A-GPSNFC 	NoRadio 	FM radioUSB 	microUSB 2.0, USB On-The-GoFeatures 	Sensors 	Fingerprint (front-mounted), accelerometer, proximity, compassBattery 	Type 	Li-Po 3075 mAh, non-removable",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/9/71ced501-bcb6-4ec2-a9cd-9945607d4a02.jpg?ect=4g,Rp735.000,5,Shakilla cellular
iPhone 12 Pro 128GB 256GB 512GB Bekas Second Ori,"FREE TEMPERED GLASS & CASE ( SELAMA PERSEDIAAN MASIH ADA, GAK DAPAT JANGAN KOMPLAIN )1. Unit bisa silent camera ( Bukan Region Japan )2. 3utools ijo semua skor 1003. True Tone berfungsi4. Face ID berfungsi5. Fisik 98%5. BH 90%6. Fullset OEM7. Bisa semua sim indo8. Garansi toko 14 Hari ( Bukan human Error )9. Single Nano SIMKenapa harus beli di Wah Gadget ?- Bisa COD ( Detail silahkan lewat chat )- Harga Termurah- Fast Respon ( Selama Jam Operasional Toko )- Garansi Tukar Unit 1x24 jam jika ada yang tidak berfungsi ( Harus ada video unboxing )",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/4/75c747d5-39ba-483c-8ab5-c58dcf3807fc.jpg?ect=4g,Rp13.500.000,5,Wah Gadget
SAMSUNG GALAXY M32 - NFC - 5000mAh - 6GB 128GB 6/128 - Garansi Resmi,"SAMSUNG GALAXY M32 6/128GBGARANSI RESMI SEIN SAMSUNG INDONESIAIMEI TERDAFTAR DI WEBSITE KEMENPERINWARNA TERSEDIA SESUAI VARIAN- HITAM- BIRU- PUTIHSpesifikasi :NETWORK	Technology	GSM / HSPA / LTELAUNCH	Announced	2021, June 21Status	Available. Released 2021, June 28BODY	Dimensions	159.3 x 74 x 8.4 mmWeight	180 gBuild	Glass front, plastic frame, plastic backSIM	Dual SIM (Nano-SIM, dual stand-by)DISPLAY	Type	Super AMOLED, 90Hz, 800 nits (HBM)Size	6.4 inches, 98.9 cm2 (~83.9% screen-to-body ratio)Resolution	1080 x 2400 pixels, 20:9 ratio (~411 ppi density)PLATFORM	OS	Android 11, One UI 3.1Chipset	Mediatek Helio G80 (12 nm)CPU	Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)GPU	Mali-G52 MC2MEMORY	Card slot	microSDXC (dedicated slot)Internal 128GB, 8GB RAM 	eMMC 5.1MAIN CAMERA	Quad	64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7µm, PDAF8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)Features	LED flash, panorama, HDRVideo	1080p@30fpsSELFIE CAMERA	Single	20 MP, f/2.2, (wide)Video	1080p@30fpsSOUND	Loudspeaker	Yes3.5mm jack	YesCOMMS	WLAN	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspotBluetooth	5.0, A2DP, LEGPS	 Yes, with A-GPS, GLONASS, BDS, GALILEONFC 	YesRadio	UnspecifiedUSB	USB Type-C 2.0, USB On-The-GoFEATURES	Sensors	Fingerprint (side-mounted), accelerometer, gyro, compass 	Virtual proximity sensingBATTERY	Type	Li-Ion 5000 mAh, non-removableCharging Fast charging 25W",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/29/96748ddc-68de-423e-b34b-78818ea0b715.jpg?ect=4g,Rp2.899.900,5,Shopyz ID
Xiaomi Poco X3 Pro 8/256 GB Garansi Resmi,"Ready Stock *01 November 2021SIM	Hybrid Dual SIM (Nano-SIM, dual stand-by)DISPLAY	Type	IPS LCD, 120Hz, HDR10, 450 nits (typ)Size	6.67 inches, PLATFORM	OS	Android 11, MIUI 12 for POCOChipset	Qualcomm Snapdragon 860 (7 nm)CPU	Octa-core (1x2.96 GHz Kryo 485 Gold & 3x2.42 GHz Kryo 485 Gold & 4x1.78 GHz Kryo 485 Silver)GPU	Adreno 640Internal	256GB 8GB RAM, MAIN CAMERA	Quad	48 MP, 8 MP, 2 MP, 2 MP, SELFIE CAMERA	Single	20 MP, BATTERY	Type	Li-Po 5160 mAh, non-removable",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/30/d63e6a87-b8c1-4a78-aae0-694780ef5659.jpg?ect=4g,Rp3.894.000,5,Gudang-HP
Infinix Note 10 Pro 6/64 GB Garansi Resmi,"Ready Stok *06 November 2021SIM	Dual SIM (Nano-SIM, dual stand-by)Size	6.95 inchesPLATFORM	OS	Android 11, XOS 7.6Chipset	Mediatek Helio G95 (12 nm)CPU	Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)GPU	Mali-G76 MC4MEMORY Internal	64GB 6GB RAMMAIN CAMERA	Quad	64 MP,8 MP,2 MP,2 MPSELFIE CAMERA	Single	16 MPBATTERY	Type	Li-Po 5000 mAh, non-removable",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/21/970616ae-c2c6-426e-b627-9cf7c72129b7.jpg?ect=4g,Rp2.520.000,5,Gudang-HP
Samsung Galaxy A72 8/128 8/256 Kamera 4K GB RAM 8 ROM 128 256 Resmi,"Fitur	Corning Gorilla GlassQualcomm Snapdragon 720G - ( 8 nm )Processor	Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver)Android 11One UI 3.0Ram / Memori Internal6 - 8 GB / 128GB - 256GBMemori Eksternal	Kamera BelakangResolusi	64 MP, f/2.0, 26mm (wide), 1/2.0″, 0.8µm, PDAF OIS8 MP, f/2.2, 123˚ 12 MP, f/2.4, 2 MP, f/2.2,Fitur	LED flash, panorama, HDR, Video	4K@30fps, 1080p@30/120fps; gyro-EIS32 MP, f/2.2, 26mm, 1/2.8″, 0.8µmFitur	HDR, Video 4K@30fps, 1080p@30fpsKapasitas 5000 mAhSensor Fingerprint GRATIS Perlindungan Layar Handphone senilai Rp 750.000 selama 6 bulan (untuk 1 kali klaim terhadap layar).Mekanisme Aktivasi Proteksi Layar senilai 750.000 hanya mengirimkan data di chatbox (Maksimal 4 Hari Dari Tanggal Pembelian).Format:1. Nama Lengkap2. Email3. Nomor HP4. Type dan warna HP5. Imei HP6. Nomor InvoiceDapatkan penawaran promo Special Asuransi Proteksi 12 bulan senilai harga HP saat pembelian bersama device.Benefit:- Proteksi : Layar, Baterai, Konektor- Limit Proteksi senilai harga handphone- Selama 12 bulan- Klaim lebih dari 1 kali selama limit tersediaPenawaran terbatas hanya didapat saat pembelian bersama device (bundling: + Proteksi Asuransi 12 bulan) :a. Rp 55.000 --> HP di bawah 6 juta (Special Promo)b. Rp 175.000 --> HP di atas 6 juta (Special Promo)Lebih Detail Mengenai Protego Fix:http://salvusmart.id/productdetails/protegofix Promo Menarik Lainnya:GRATIS Paket Data• Bonus Kuota 15GB/bulan selama 24 bulan ( Total 360GB selama 2 Tahun ) dengan syarat Top Pulsa 50rb/ bln sejak kartu diaktifkan.pulsa tidak terpotong• Kuota dapat digunakan untuk seluruh akses data (Main Quota)• Cara Mendapatkan Bonus Kuota:a. Lakukan isi Ulang pulsa Smartfren minimum 50 ribu paling lambat 3 hari setelah aktivasi kartub. Download aplikasi MySmartfren di Google PlayStore atau Apps Storec. Buka Aplikasi MySmartfren paling lambat 3 hari setelah isi UlangTerima Kasih sudah berbelanja di Toko kami",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/27/9b72c015-c425-439b-99b9-ef43da2b29b4.jpg?ect=4g,Rp5.299.000,5,SUPER_GADGET
XIAOMI Mi POCO X3 Pro 6/128GB NFC Snapdragon™ 860 48MP 5160mAh,"Xiaomi Official Store Garansi ResmiPOCO X3 Pro memiliki teknologi memori UFS 3.1 yang ditingkatkan, POCO X3 Pro menawarkan kecepatan baca dan tulis yang tajam. POCO X3 Pro menggunakan Teknologi LiquidCool 1.0 Plus.POCO X3 Pro memiliki Rasio refresh rate 120Hz. Pada refresh rate layar tinggi 120Hz, kamu tidak akan pernah tertinggal. Nikmati gerakan lancar yang mulus dalam game penuh aksi dan tetap menjadi yang terdepan dalam persaingan.POCO X3 Pro dilengkapi dengan Corning® Gorilla® Glass 6 Tahan jatuh dari ketinggian hingga 1,6m ke permukaan yang keras dan kasar. Peningkatan ketahanan gores Peningkatan hingga 2x dibandingkan dengan aluminosilikat alternatif*.POCO X3 Pro memiliki Baterai 5160mAh. 11 jam bermain game, 18 jam perekaman video, 110 jam pemutaran musik*. Pengisian daya cepat 33W Dengan pengisian daya cepat 33W, POCO X3 Pro dapat dihidupkan dengan cepat, memastikan bahwa kamu selalu siap sedia. Jangan biarkan pengisian daya yang lambat memperlambat kamu! 30 menit untuk isi daya hingga 59%, 50 menit untuk isi daya hingga 100%.POCO X3 Pro juga dilengkapi dengan NFC*, IR Blaster, IP53, 3,5mm headphone jack.SpesifikasiPenyimpanan & RAM6+128GB/ 8+256GBLPDDR4X+UFS 3.1*Penyimpanan dan RAM yang tersedia lebih sedikit dari total memori dikarenakan penyimpanan operasi sistem dan pra-instal software di perangkat.*Konfigurasi yang tersedia bervariasi antar daerah.DimensiTinggi: 165,3 mmLebar: 76,8 mmKetebalan: 9,4 mmBerat: 215gKamera Depan20MP kamera depan dalam layar f/2.2 1,6μm piksel besar (4-in-1)Fitur Video & FotografiMode malamDual videoJaringan NirkabelWi-Fi 5Mendukung 2,4GHz Wi-Fi/5GHz Wi-FiBluetooth 5.0SensorSensor jarak | Sensor cahaya sekitar | Akselerometer | Giroskop | Kompas elektronik | Motor getaran | IR blasterSistem operasiMIUI 12 berbasis POCOIsi Paket PembelianPOCO X3 ProAdaptor Kabel USB Tipe-CAlat SIM EjektorCase PelindungPanduan PenggunaKartu Garansi",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/2/48b2f702-5bff-42be-b1ac-2634d67b73ad.png?ect=4g,Rp3.499.000,5,Xiaomi Official Store
